id,county,state,concatenate,Estimate!!Total
0500000US48085,Collin,Texas,CollinTexas,1005146
0500000US48231,Hunt,Texas,HuntTexas,96493
0500000US48029,Bexar,Texas,BexarTexas,1986049
0500000US48203,Harrison,Texas,HarrisonTexas,66726
0500000US48303,Lubbock,Texas,LubbockTexas,307412
0500000US48381,Randall,Texas,RandallTexas,136271
0500000US48039,Brazoria,Texas,BrazoriaTexas,370200
0500000US48157,Fort Bend,Texas,Fort BendTexas,787858
0500000US48451,Tom Green,Texas,Tom GreenTexas,118189
0500000US48339,Montgomery,Texas,MontgomeryTexas,590925
0500000US48441,Taylor,Texas,TaylorTexas,137640
0500000US48471,Walker,Texas,WalkerTexas,72480
0500000US48121,Denton,Texas,DentonTexas,859064
0500000US48453,Travis,Texas,TravisTexas,1248743
0500000US48113,Dallas,Texas,DallasTexas,2637772
0500000US48213,Henderson,Texas,HendersonTexas,82299
0500000US48099,Coryell,Texas,CoryellTexas,74808
0500000US48215,Hidalgo,Texas,HidalgoTexas,865939
0500000US48329,Midland,Texas,MidlandTexas,172578
0500000US48027,Bell,Texas,BellTexas,355642
0500000US48061,Cameron,Texas,CameronTexas,423908
0500000US48005,Angelina,Texas,AngelinaTexas,87092
0500000US48485,Wichita,Texas,WichitaTexas,132064
0500000US48135,Ector,Texas,EctorTexas,162124
0500000US48423,Smith,Texas,SmithTexas,230221
0500000US48469,Victoria,Texas,VictoriaTexas,92035
0500000US48021,Bastrop,Texas,BastropTexas,86976
0500000US48355,Nueces,Texas,NuecesTexas,362265
0500000US48375,Potter,Texas,PotterTexas,119648
0500000US48167,Galveston,Texas,GalvestonTexas,337890
0500000US48367,Parker,Texas,ParkerTexas,138371
0500000US51069,Frederick,Virginia,FrederickVirginia,88355
0500000US51059,Fairfax,Virginia,FairfaxVirginia,1150795
0500000US51510,Alexandria city,Virginia,Alexandria cityVirginia,160530
0500000US51680,Lynchburg city,Virginia,Lynchburg cityVirginia,82126
0500000US51095,James City,Virginia,James CityVirginia,76397
0500000US51650,Hampton city,Virginia,Hampton cityVirginia,134313
0500000US51800,Suffolk city,Virginia,Suffolk cityVirginia,91185
0500000US51041,Chesterfield,Virginia,ChesterfieldVirginia,348556
0500000US51019,Bedford,Virginia,BedfordVirginia,78747
0500000US51087,Henrico,Virginia,HenricoVirginia,329261
0500000US51085,Hanover,Virginia,HanoverVirginia,107239
0500000US51179,Stafford,Virginia,StaffordVirginia,149960
0500000US51003,Albemarle,Virginia,AlbemarleVirginia,108718
0500000US51161,Roanoke,Virginia,RoanokeVirginia,94073
0500000US51760,Richmond city,Virginia,Richmond cityVirginia,228783
0500000US51013,Arlington,Virginia,ArlingtonVirginia,237521
0500000US51199,York,Virginia,YorkVirginia,67846
0500000US51121,Montgomery,Virginia,MontgomeryVirginia,98985
0500000US51165,Rockingham,Virginia,RockinghamVirginia,81244
0500000US51700,Newport News city,Virginia,Newport News cityVirginia,178626
0500000US51710,Norfolk city,Virginia,Norfolk cityVirginia,244076
0500000US51810,Virginia Beach city,Virginia,Virginia Beach cityVirginia,450189
0500000US51061,Fauquier,Virginia,FauquierVirginia,70675
0500000US51015,Augusta,Virginia,AugustaVirginia,75457
0500000US51550,Chesapeake city,Virginia,Chesapeake cityVirginia,242634
0500000US51770,Roanoke city,Virginia,Roanoke cityVirginia,99920
0500000US51107,Loudoun,Virginia,LoudounVirginia,406850
0500000US51740,Portsmouth city,Virginia,Portsmouth cityVirginia,94632
0500000US51153,Prince William,Virginia,Prince WilliamVirginia,468011
0500000US51177,Spotsylvania,Virginia,SpotsylvaniaVirginia,134238
