id,county,state,concat,Estimate!!Total!!Total population,Estimate!!Male!!Total population,Estimate!!Female!!Total population,Estimate!!Total!!Total population!!AGE!!Under 5 years,Estimate!!Total!!Total population!!AGE!!5 to 9 years,Estimate!!Total!!Total population!!AGE!!10 to 14 years,Estimate!!Total!!Total population!!AGE!!15 to 19 years,Estimate!!Total!!Total population!!AGE!!20 to 24 years,Estimate!!Total!!Total population!!AGE!!25 to 29 years,Estimate!!Total!!Total population!!AGE!!30 to 34 years,Estimate!!Total!!Total population!!AGE!!35 to 39 years,Estimate!!Total!!Total population!!AGE!!40 to 44 years,Estimate!!Total!!Total population!!AGE!!45 to 49 years,Estimate!!Total!!Total population!!AGE!!50 to 54 years,Estimate!!Total!!Total population!!AGE!!55 to 59 years,Estimate!!Total!!Total population!!AGE!!60 to 64 years,Estimate!!Total!!Total population!!AGE!!65 to 69 years,Estimate!!Total!!Total population!!AGE!!70 to 74 years,Estimate!!Total!!Total population!!AGE!!75 to 79 years,Estimate!!Total!!Total population!!AGE!!80 to 84 years,Estimate!!Total!!Total population!!AGE!!85 years and over
0500000US13021,Bibb,Georgia,BibbGeorgia,153095,72997,80098,9939,10274,11150,10257,11537,11386,9677,10240,7540,9011,9188,8879,10043,8403,5867,3647,3255,2802
0500000US13089,DeKalb,Georgia,DeKalbGeorgia,756558,356943,399615,52849,50823,45289,42543,47630,65390,61810,58193,49901,51170,47925,45050,43996,35946,24283,14131,7921,11708
0500000US13127,Glynn,Georgia,GlynnGeorgia,85219,38778,46441,4659,6003,4780,5229,5190,3895,4930,7700,4957,4104,5124,5858,5835,5858,4619,2967,1500,2011
0500000US13031,Bulloch,Georgia,BullochGeorgia,77296,38232,39064,4262,3211,5673,10372,11927,4976,4344,5631,2215,4284,4081,3360,4415,3152,2022,1254,1154,963
0500000US13115,Floyd,Georgia,FloydGeorgia,97927,46055,51872,6356,5198,7017,7235,6592,7117,6320,5536,5856,6197,5912,5711,6347,4876,4282,3578,1954,1843
0500000US13217,Newton,Georgia,NewtonGeorgia,109541,52294,57247,6975,8002,8321,10326,7663,5626,4362,9564,6416,7941,7375,6205,6386,4612,4364,2813,1296,1294
0500000US13015,Bartow,Georgia,BartowGeorgia,106408,52149,54259,7109,5934,7330,7943,7849,6374,6699,6320,8722,6956,6783,6391,7347,4779,4813,2251,1239,1569
0500000US13117,Forsyth,Georgia,ForsythGeorgia,236612,117349,119263,14133,18258,20332,17755,11757,9454,12807,17547,21360,21932,17323,14179,11377,9601,8275,5057,3867,1598
0500000US13121,Fulton,Georgia,FultonGeorgia,1050114,508879,541235,61717,65013,63302,70411,75366,94365,84412,80329,69055,75948,68596,62338,56587,41425,31412,22457,14103,13278
0500000US13057,Cherokee,Georgia,CherokeeGeorgia,254149,125287,128862,14754,16615,19513,17796,14705,14926,15683,16447,18670,21026,16487,16936,14382,11628,11783,6653,3889,2256
0500000US13215,Muscogee,Georgia,MuscogeeGeorgia,194160,94670,99490,13152,13983,13521,12655,13957,16940,14467,12165,12344,10602,11677,10678,11933,8738,6396,4086,3168,3698
0500000US13077,Coweta,Georgia,CowetaGeorgia,145864,73040,72824,7364,8781,10087,13135,8459,10880,9464,7809,9536,10829,10865,8640,9268,7694,5587,4161,1761,1544
0500000US13185,Lowndes,Georgia,LowndesGeorgia,116321,55535,60786,8205,8562,6861,9919,14383,9397,7310,6269,6790,6574,5910,5730,5881,4925,3726,2883,1413,1583
0500000US13255,Spalding,Georgia,SpaldingGeorgia,66100,31881,34219,3803,4692,4069,4840,3232,5073,2775,4950,4041,4736,3631,4652,3592,4176,2974,2209,1386,1269
0500000US13045,Carroll,Georgia,CarrollGeorgia,118121,58237,59884,6405,8279,8460,10122,9768,8529,7578,7554,6020,7990,7529,6290,6809,5656,4609,2798,2464,1261
0500000US13067,Cobb,Georgia,CobbGeorgia,756865,366941,389924,46770,47455,52596,50760,48053,56974,54283,55666,51090,55684,52184,50888,41634,31828,26903,14312,10432,9353
0500000US13139,Hall,Georgia,HallGeorgia,202148,100325,101823,13104,13726,15229,15685,11939,14698,12549,10930,13169,13454,13155,13187,11245,8010,9494,5546,3831,3197
0500000US23031,York,Maine,YorkMaine,206229,100163,106066,9847,9842,12300,11054,10323,12225,12335,10812,12744,13281,15189,16588,17375,14340,10805,6839,5755,4575
0500000US23011,Kennebec,Maine,KennebecMaine,122083,59257,62826,5831,5716,7406,6979,7440,6999,7271,7678,6249,7575,8645,9459,9965,7673,6954,4444,2221,3578
0500000US23019,Penobscot,Maine,PenobscotMaine,151096,75100,75996,6767,7455,7541,10404,10860,10088,9547,9545,8113,9236,10762,11762,11255,8351,7854,4956,2970,3630
0500000US23001,Androscoggin,Maine,AndroscogginMaine,107679,53089,54590,6140,5802,6847,6187,6828,6793,6727,5902,6693,6923,7781,8369,7395,7302,4071,3842,2022,2055
0500000US23005,Cumberland,Maine,CumberlandMaine,293557,142838,150719,13506,16034,14873,17158,17007,20070,20514,20909,15739,19436,20346,23400,20592,18857,13175,9314,5989,6638
0500000US23003,Aroostook,Maine,AroostookMaine,67111,32867,34244,3410,3182,3662,3829,3405,3368,3039,2993,3713,4112,5090,4938,6177,5117,4128,2410,1716,2822
0500000US24015,Cecil,Maryland,CecilMaryland,102826,50795,52031,5670,7442,5775,6830,6263,6552,5847,5596,6491,6705,8307,6361,8783,5325,4930,2619,1436,1894
0500000US24037,St. Mary's,Maryland,St. Mary'sMaryland,112664,55523,57141,5828,5778,10463,8912,8435,6445,6744,8106,6429,6877,9757,7112,6772,4580,4116,3321,1857,1132
0500000US24009,Calvert,Maryland,CalvertMaryland,92003,46221,45782,4628,4914,7459,6038,5351,5349,5986,6041,4590,6082,7994,7965,6131,4217,4130,2275,1298,1555
0500000US24027,Howard,Maryland,HowardMaryland,323196,157591,165605,19110,21627,23478,21371,18670,19125,19915,21561,24091,23482,23765,23121,19141,13798,14257,8439,4637,3608
0500000US24031,Montgomery,Maryland,MontgomeryMaryland,1052567,509380,543187,65827,69115,67548,64224,59610,63774,70166,75537,69348,73240,72557,72605,65371,54977,37954,29025,19924,21765
0500000US24003,Anne Arundel,Maryland,Anne ArundelMaryland,576031,285544,290487,35483,34259,37408,32194,38503,39660,41596,40503,36979,37060,40816,40465,36294,24772,25543,17029,8206,9261
0500000US24025,Harford,Maryland,HarfordMaryland,253956,124169,129787,14289,15959,15790,15813,16325,14672,15324,16812,14622,18127,18630,17592,17996,12505,12409,7569,4732,4790
0500000US24510,Baltimore city,Maryland,Baltimore cityMaryland,602495,282677,319818,37967,33660,33196,35471,40702,60064,54895,42293,33723,33407,36247,36826,39975,29103,21038,14964,8823,10141
0500000US24021,Frederick,Maryland,FrederickMaryland,255648,126543,129105,15098,16857,16653,17478,15266,15232,17373,16658,16917,17827,18801,17546,17122,11914,10102,7250,2925,4629
0500000US24033,Prince George's,Maryland,Prince George'sMaryland,909308,437625,471683,59540,54858,56125,57990,61596,67970,64498,66173,55887,62396,63669,64956,53025,44032,31673,19541,13439,11940
0500000US24013,Carroll,Maryland,CarrollMaryland,168429,83560,84869,8701,9066,11120,12652,10186,8973,9917,10719,7637,11959,13854,14022,12114,8838,7076,4412,3813,3370
0500000US24045,Wicomico,Maryland,WicomicoMaryland,103195,48745,54450,6336,5914,6806,8305,10618,7608,5450,5090,5879,6122,5921,7087,5813,5404,3871,3032,2188,1751
0500000US24017,Charles,Maryland,CharlesMaryland,161503,77505,83998,9703,10969,10224,11161,11026,10816,10044,11022,9118,12406,13298,10755,11044,7674,4532,3507,1882,2322
0500000US24005,Baltimore,Maryland,BaltimoreMaryland,828431,392736,435695,48855,47474,52529,52396,50076,57120,56796,53206,48173,51037,54618,56593,57016,45711,33903,25831,16737,20360
0500000US24043,Washington,Maryland,WashingtonMaryland,150926,77920,73006,8304,8269,10673,8495,9488,10515,9551,11112,7492,10663,10775,8382,11141,7879,6733,4748,3955,2751
0500000US24001,Allegany,Maryland,AlleganyMaryland,70975,37941,33034,3519,3149,3574,5227,5998,4186,4221,3519,4388,4842,4552,5416,4237,3839,3820,3257,2099,1132
0500000US25003,Berkshire,Massachusetts,BerkshireMassachusetts,126348,61499,64849,5001,5881,6026,7914,8430,6956,6738,7324,5489,7488,9249,9994,10619,9169,7449,5491,3301,3829
0500000US25009,Essex,Massachusetts,EssexMassachusetts,790638,381869,408769,44522,43847,49793,52175,51242,48632,48835,44347,50606,51107,57625,60932,52097,43490,34112,21004,15479,20793
0500000US25001,Barnstable,Massachusetts,BarnstableMassachusetts,213413,101183,112230,7195,8560,10308,10727,10027,10651,9477,9571,8381,11320,14300,18769,18674,19947,17375,12431,8030,7670
0500000US25021,Norfolk,Massachusetts,NorfolkMassachusetts,705388,338835,366553,37698,38945,43305,45466,43776,44715,46316,44952,43938,48015,50833,51971,46500,37818,28365,20714,13545,18516
0500000US25017,Middlesex,Massachusetts,MiddlesexMassachusetts,1614714,790337,824377,85643,88292,88462,102800,114506,126233,125224,111656,100159,105785,111052,110101,98741,76631,62498,42851,30086,33994
0500000US25025,Suffolk,Massachusetts,SuffolkMassachusetts,807252,390462,416790,41775,35981,34328,54446,77678,103648,85122,58931,45472,44761,44395,44039,39724,33834,22675,17879,10881,11683
0500000US25011,Franklin,Massachusetts,FranklinMassachusetts,70963,34401,36562,3020,3963,3408,3499,3401,4143,4323,3875,4392,4468,4610,5090,7347,5122,4546,1938,1636,2182
0500000US25013,Hampden,Massachusetts,HampdenMassachusetts,470406,227450,242956,25427,27663,29383,33232,34475,32296,30008,27466,27058,29208,31040,33567,30818,25457,19367,14351,7527,12063
0500000US25015,Hampshire,Massachusetts,HampshireMassachusetts,161355,75097,86258,5164,5337,7924,18947,23508,8175,7593,7662,7275,8517,11609,11538,10138,9828,7521,4311,3228,3080
0500000US25023,Plymouth,Massachusetts,PlymouthMassachusetts,518132,252706,265426,27274,31448,30145,34392,31955,28087,28897,31220,27958,35720,39587,40296,37547,30007,26038,16879,10021,10661
0500000US25027,Worcester,Massachusetts,WorcesterMassachusetts,830839,409838,421001,44457,46773,51176,56046,56538,54527,53976,51978,48576,56828,61482,62675,55965,43247,33252,21523,16224,15596
0500000US25005,Bristol,Massachusetts,BristolMassachusetts,564022,273114,290908,29409,30489,35534,36042,36674,36855,35047,35830,34130,38879,40631,39823,39823,29534,25715,15879,10487,13241
0500000US34033,Salem,New Jersey,SalemNew Jersey,62607,30819,31788,3082,3597,4570,3595,3338,4300,3365,4271,3180,3729,4589,4330,4926,3996,2763,2762,783,1431
0500000US34035,Somerset,New Jersey,SomersetNew Jersey,331164,161936,169228,16889,17443,24467,21089,19964,18025,18694,22345,21985,23879,25813,24523,24429,17017,11521,8759,7095,7227
0500000US34025,Monmouth,New Jersey,MonmouthNew Jersey,621354,302643,318711,30897,32297,42777,40431,36881,35151,31890,35263,36470,43275,49012,51698,46112,34804,27920,20266,11645,14565
0500000US34013,Essex,New Jersey,EssexNew Jersey,799767,384965,414802,52554,53595,51936,50440,50926,56140,54115,54577,57333,56526,55056,50504,47533,34257,27685,18743,12205,15642
0500000US34021,Mercer,New Jersey,MercerNew Jersey,369811,180597,189214,20928,19894,23839,26639,29475,23956,22334,24063,22754,25599,25774,25524,23031,19625,12990,8786,7407,7193
0500000US34017,Hudson,New Jersey,HudsonNew Jersey,676061,336097,339964,46925,35602,36134,32700,40663,70607,72233,59758,47151,41962,40388,35377,36643,25889,19718,14364,9222,10725
0500000US34005,Burlington,New Jersey,BurlingtonNew Jersey,445384,218445,226939,22749,25820,27135,26693,27921,28349,27061,27552,28716,29774,32991,34159,31189,23629,19305,12819,9792,9730
0500000US34007,Camden,New Jersey,CamdenNew Jersey,507078,243014,264064,30826,29629,34785,30844,30320,35978,34566,34430,30153,33093,34466,35681,33067,25876,20262,14540,9426,9136
0500000US34011,Cumberland,New Jersey,CumberlandNew Jersey,150972,77267,73705,9252,9193,11135,9692,8797,10675,10426,10548,10641,9055,10002,9594,8740,8018,5663,4103,3121,2317
0500000US34015,Gloucester,New Jersey,GloucesterNew Jersey,291408,140687,150721,14796,17355,19554,20041,18191,17781,18094,16793,19169,21175,20651,20773,20456,15459,12164,7481,5416,6059
0500000US34029,Ocean,New Jersey,OceanNew Jersey,601651,290185,311466,42557,36103,42372,34662,32203,34772,31529,30253,30050,33032,36996,39075,41769,35570,36454,28236,17471,18547
0500000US34039,Union,New Jersey,UnionNew Jersey,558067,272272,285795,35126,37847,35388,35510,33732,35528,36185,40982,35727,39018,40051,39199,33521,25410,19766,15006,8220,11851
0500000US34027,Morris,New Jersey,MorrisNew Jersey,494228,241619,252609,24723,25514,33044,32692,30923,26407,26988,28006,33011,35767,39974,37920,34945,24709,21611,16433,9124,12437
0500000US34003,Bergen,New Jersey,BergenNew Jersey,936692,454629,482063,49750,54365,57849,57493,55100,52180,56189,61112,62610,66606,69413,72185,60841,46591,40901,27091,20360,26056
0500000US34041,Warren,New Jersey,WarrenNew Jersey,105779,52001,53778,4699,5324,6358,7189,6077,5691,5962,5063,6730,7744,8671,8571,8507,5678,5116,4109,1435,2855
0500000US34019,Hunterdon,New Jersey,HunterdonNew Jersey,124714,62020,62694,5043,6887,7022,8528,7941,5600,5294,6828,6863,9359,10931,12308,8830,8320,5809,3851,2378,2922
0500000US34009,Cape May,New Jersey,Cape MayNew Jersey,92560,45935,46625,4071,3411,4346,4163,5483,5778,4814,4798,3678,5094,6880,7771,8205,7150,6435,4966,2882,2635
0500000US34001,Atlantic,New Jersey,AtlanticNew Jersey,265429,129633,135796,14350,16128,15915,16710,19372,14347,14654,16161,14033,17531,18735,21900,18035,13016,14340,9805,5329,5068
0500000US34023,Middlesex,New Jersey,MiddlesexNew Jersey,829685,409784,419901,47910,48470,52306,54013,54125,55394,57113,61316,52868,56305,57360,57657,50710,41585,29447,20170,14778,18158
0500000US34037,Sussex,New Jersey,SussexNew Jersey,140799,70186,70613,6699,6920,8580,9121,8351,7605,8210,7876,7837,9852,11639,12508,11925,9332,5281,4296,2820,1947
0500000US34031,Passaic,New Jersey,PassaicNew Jersey,503310,245652,257658,33868,32511,33580,34067,34491,35382,31731,32370,32267,32169,33663,33431,30569,24162,17109,13314,9369,9257
0500000US36087,Rockland,New York,RocklandNew York,325695,160230,165465,26348,24313,25878,23812,21799,19494,17307,19074,17369,18912,20786,19836,19658,16287,11666,7409,7871,7876
0500000US36105,Sullivan,New York,SullivanNew York,75498,38858,36640,4167,4242,4733,5280,3693,4397,4065,4774,3733,5364,5654,5987,5211,4532,3838,3068,1643,1117
0500000US36111,Ulster,New York,UlsterNew York,178599,88542,90057,7600,8227,9746,9999,12870,11486,11035,12025,9062,11136,12857,13136,14295,11233,9173,6732,3589,4398
0500000US36053,Madison,New York,MadisonNew York,70795,34819,35976,3092,4064,3603,6677,5654,3450,3605,3206,3999,4257,5115,5222,5764,5196,2528,2870,1104,1389
0500000US36081,Queens,New York,QueensNew York,2278906,1105577,1173329,141025,114733,131467,114739,130400,186838,179431,162511,150800,153175,155124,159360,141673,111198,90377,64901,45981,45173
0500000US36119,Westchester,New York,WestchesterNew York,967612,468837,498775,53737,56684,62385,63626,60610,54952,56269,62664,60495,67534,71046,69293,62980,46993,41340,30306,20116,26582
0500000US36113,Warren,New York,WarrenNew York,64265,31907,32358,2946,3974,2187,3834,3034,3960,3356,3928,3153,4266,4591,4399,6276,5341,3166,2032,1561,2261
0500000US36117,Wayne,New York,WayneNew York,90064,44790,45274,5067,4586,6461,5011,4799,5132,5182,4127,5577,5609,6688,7606,6927,4908,5022,3356,1896,2110
0500000US36005,Bronx,New York,BronxNew York,1432132,673951,758181,102764,94486,100545,95617,104329,123774,106386,92835,88297,87166,92443,85317,75008,55410,46561,33127,26879,21188
0500000US36007,Broome,New York,BroomeNew York,191659,93150,98509,9796,10769,9900,15095,16868,12265,10718,9871,10063,10307,11884,13207,14123,10062,9555,6395,4447,6334
0500000US36027,Dutchess,New York,DutchessNew York,293718,146156,147562,13417,14757,16151,21333,21801,17399,17467,15264,18692,19095,22173,22670,21926,16447,12770,9191,6677,6488
0500000US36101,Steuben,New York,SteubenNew York,95796,48423,47373,5064,6200,5521,5729,5151,5557,5413,6231,5087,6100,6461,7346,7273,6635,4175,3521,2172,2160
0500000US36067,Onondaga,New York,OnondagaNew York,461809,222736,239073,26513,29196,24961,33371,32733,30377,30461,26843,25091,27795,30639,31972,32990,24732,19833,13316,8968,12018
0500000US36069,Ontario,New York,OntarioNew York,109864,53729,56135,5547,6387,6062,6856,7042,6035,6079,6449,5627,7274,8234,8104,8523,7298,5380,3802,2520,2645
0500000US36015,Chemung,New York,ChemungNew York,84254,40747,43507,4726,6135,3936,4855,4974,5016,4773,5582,3901,5031,5948,7197,5567,5794,3725,3208,1981,1905
0500000US36045,Jefferson,New York,JeffersonNew York,111755,58729,53026,8684,8073,6320,6461,11377,10237,7835,7594,5348,6059,5950,5976,6383,5531,3534,2824,1921,1648
0500000US36001,Albany,New York,AlbanyNew York,307117,149679,157438,14893,13914,17175,24092,31561,20499,19894,19999,14784,17588,20355,19766,20281,17586,12419,8733,6528,7050
0500000US36029,Erie,New York,ErieNew York,919719,444847,474872,50206,51537,50935,60014,58010,68043,63480,54800,48197,55358,61423,67872,64628,49632,42123,29333,20157,23971
0500000US36059,Nassau,New York,NassauNew York,1358343,661642,696701,74276,79224,84587,86141,86361,81499,77597,81403,81862,89752,99447,100421,94443,72238,60725,41309,27875,39183
0500000US36071,Orange,New York,OrangeNew York,381951,192029,189922,25102,25194,29416,29236,27763,23360,22026,22891,22508,25190,27217,24771,23886,18443,13470,8084,6337,7057
0500000US36083,Rensselaer,New York,RensselaerNew York,159442,78766,80676,8115,8189,9280,11542,11114,11704,10704,10325,8353,9709,10850,11897,11103,9229,6778,4248,2570,3732
0500000US36013,Chautauqua,New York,ChautauquaNew York,127939,63814,64125,6821,6837,7436,8779,7752,8090,7345,7770,5989,7331,8289,10433,9480,8148,6120,4837,2574,3908
0500000US36019,Clinton,New York,ClintonNew York,80695,42358,38337,3782,3522,4274,6138,7667,5570,5166,4746,4181,5002,5267,5501,6356,4539,3326,2212,1948,1498
0500000US36061,New York,New York,New YorkNew York,1628701,770362,858339,76770,59013,63661,68060,111359,188847,175297,127525,105557,101265,97832,93224,91457,80936,65414,49549,33326,39609
0500000US36091,Saratoga,New York,SaratogaNew York,230163,113339,116824,11871,11907,13251,15739,14118,13031,13454,14585,13653,16171,18328,18971,14234,13148,11518,7360,4748,4076
0500000US36009,Cattaraugus,New York,CattaraugusNew York,76840,38067,38773,4068,4647,4813,5205,4737,4055,4390,4487,4143,4652,5431,5672,5899,4596,3853,3302,1366,1524
0500000US36055,Monroe,New York,MonroeNew York,742474,358147,384327,40565,41752,44604,49463,51462,54485,50175,44601,40443,44830,49351,48050,54583,40024,32820,23475,14105,17686
0500000US36109,Tompkins,New York,TompkinsNew York,102793,51465,51328,4421,4151,3946,13231,17285,7268,5894,5980,4525,4871,5609,4164,7239,4143,4443,2144,1440,2039
0500000US36065,Oneida,New York,OneidaNew York,229577,113987,115590,12745,13780,14365,14672,13912,14818,15467,12654,12344,13651,15843,15652,17119,13113,9952,7108,5493,6889
0500000US36075,Oswego,New York,OswegoNew York,117898,59222,58676,6162,6045,7534,9102,8771,7912,6932,7399,5175,7352,8751,9824,7490,6710,4989,3262,2779,1709
0500000US36063,Niagara,New York,NiagaraNew York,210433,102743,107690,10889,10201,13221,12678,12336,13062,12522,12730,10651,13005,15440,14789,19096,12809,10225,6390,4589,5800
0500000US36079,Putnam,New York,PutnamNew York,98892,49528,49364,4456,5287,5399,6771,6135,5380,6143,5386,5330,7461,8424,7635,7991,6186,4248,3614,1450,1596
0500000US36051,Livingston,New York,LivingstonNew York,63227,32028,31199,2757,3095,3139,6093,5232,3610,3379,3192,3408,3981,4524,4829,4871,3165,3297,2019,1620,1016
0500000US36103,Suffolk,New York,SuffolkNew York,1481093,729779,751314,79249,80024,94303,97496,95867,92293,83263,84000,89904,102852,116313,114650,100797,72299,68169,47481,31030,31103
0500000US36089,St. Lawrence,New York,St. LawrenceNew York,108047,55626,52421,5341,6234,6171,9927,8883,6324,6043,5252,6345,6568,7505,7759,7227,5466,5265,2806,2381,2550
0500000US36011,Cayuga,New York,CayugaNew York,77145,39764,37381,3951,4632,3874,4611,4008,5264,4975,5212,4116,4817,5433,6553,5377,4663,3575,1870,2538,1676
0500000US36047,Kings,New York,KingsNew York,2582830,1223278,1359552,187096,156195,158534,136580,159102,243634,230933,195947,164363,154822,148478,147328,141021,115276,88781,65210,43734,45796
0500000US36085,Richmond,New York,RichmondNew York,476179,230765,245414,27413,28482,29742,29915,27976,33845,31047,28938,30375,32043,33526,32166,33657,26691,19292,14287,8183,8601
0500000US36093,Schenectady,New York,SchenectadyNew York,155350,76212,79138,8710,8354,10455,10608,11470,8876,9112,10618,9634,8990,10457,9945,11269,7779,7057,3932,3770,4314
0500000US39007,Ashtabula,Ohio,AshtabulaOhio,97493,49312,48181,5783,5705,6492,5220,5759,5920,5219,6300,4264,6078,7340,6912,7932,6301,4539,3478,1970,2281
0500000US39013,Belmont,Ohio,BelmontOhio,67505,34519,32986,3579,3178,3987,3544,3340,4519,3697,3828,3993,4500,4249,5003,5738,4631,3689,2297,1664,2069
0500000US39093,Lorain,Ohio,LorainOhio,309461,152537,156924,17709,18578,19653,20005,20119,16926,16513,17931,19414,20751,20521,21756,22680,19233,14013,9690,6875,7094
0500000US39029,Columbiana,Ohio,ColumbianaOhio,102665,51589,51076,5526,5351,6345,5964,5532,5743,5563,5988,5767,7005,6761,7959,7986,7356,5024,4218,2430,2147
0500000US39055,Geauga,Ohio,GeaugaOhio,94031,46724,47307,5011,5411,6574,6989,5401,4177,3885,5244,4424,5855,7057,7323,7173,6063,5030,3862,2525,2027
0500000US39119,Muskingum,Ohio,MuskingumOhio,86183,42143,44040,5265,4753,6144,5418,5280,5458,4866,4736,5311,5651,5950,5432,6730,5389,3278,3255,1843,1424
0500000US39081,Jefferson,Ohio,JeffersonOhio,65767,32354,33413,3125,2722,4229,3709,5051,3682,3303,3178,3621,4485,4073,4764,5368,4781,3430,2905,1823,1518
0500000US39035,Cuyahoga,Ohio,CuyahogaOhio,1243857,593150,650707,71166,65990,75664,74772,78984,93486,82582,72839,70104,74620,79754,88568,89191,74278,51271,42422,26358,31808
0500000US39061,Hamilton,Ohio,HamiltonOhio,816684,394206,422478,52905,49287,53919,53691,53323,65691,59413,52743,43969,47304,50838,57032,51552,40716,31188,21506,14710,16897
0500000US39165,Warren,Ohio,WarrenOhio,232173,117267,114906,13093,12668,20105,16757,12049,12973,14566,16723,15073,17256,16696,18541,12293,10958,9192,4796,3995,4439
0500000US39009,Athens,Ohio,AthensOhio,65818,33319,32499,2511,1890,3522,8286,12430,4190,3909,3875,2456,3210,3262,4132,3508,3465,1806,1465,798,1103
0500000US39023,Clark,Ohio,ClarkOhio,134585,65014,69571,7874,7259,9684,9399,8035,8014,7736,7162,8076,7837,9157,9114,9281,8232,6653,4466,2757,3849
0500000US39099,Mahoning,Ohio,MahoningOhio,229642,113227,116415,12238,12354,12127,15978,14540,13433,12247,12241,13037,13638,14631,16077,18961,15752,10754,8768,4703,8163
0500000US39085,Lake,Ohio,LakeOhio,230514,113126,117388,10914,12612,13669,13512,12685,13952,13027,13801,13013,15553,16078,16740,18611,14375,12055,7659,6411,5847
0500000US39153,Summit,Ohio,SummitOhio,541918,263355,278563,29727,30526,32476,33745,33039,37798,33608,34394,29923,34583,35597,39145,39890,32412,24121,18169,9700,13065
0500000US39045,Fairfield,Ohio,FairfieldOhio,155782,77951,77831,9428,9509,10982,11563,8877,9140,8916,9661,10433,10815,11199,10862,9722,7964,6726,4303,3512,2170
0500000US39155,Trumbull,Ohio,TrumbullOhio,198627,96599,102028,11057,9776,12477,11346,10719,11696,11392,11023,10671,12502,13039,14966,14814,14060,10660,7493,4670,6266
0500000US39169,Wayne,Ohio,WayneOhio,115967,57444,58523,7309,7846,8132,8204,7764,7013,6606,6330,6139,6895,6867,8253,8345,6659,4742,4723,1774,2366
0500000US39063,Hancock,Ohio,HancockOhio,75930,37308,38622,4332,4968,4163,5465,4421,5607,4789,4581,4438,4744,5052,5843,4698,4027,3193,1736,1896,1977
0500000US39151,Stark,Ohio,StarkOhio,371574,180157,191417,20726,22675,22461,23301,22005,23121,20597,23022,20239,23505,23767,28475,25618,22818,17757,13718,7974,9795
0500000US39109,Miami,Ohio,MiamiOhio,106222,52551,53671,6146,7487,6569,6673,5165,6275,6224,5518,7104,6673,6885,7684,7283,6507,5079,5158,1970,1822
0500000US39145,Scioto,Ohio,SciotoOhio,75502,37439,38063,4212,4974,4169,5355,4467,4884,4497,5025,4266,4688,4946,5371,5122,4723,2879,2759,1494,1671
0500000US39113,Montgomery,Ohio,MontgomeryOhio,532331,257229,275102,32597,31485,33295,33939,34993,38656,33689,31680,29456,31752,33304,37029,34812,29067,24754,17514,10663,13646
0500000US39089,Licking,Ohio,LickingOhio,175769,85511,90258,10977,11625,11106,11926,10560,10134,10481,11594,9463,11825,12599,13202,11544,8723,8055,5046,3389,3520
0500000US39025,Clermont,Ohio,ClermontOhio,205466,100815,104651,12098,14831,12346,12631,11654,12724,13009,13766,12345,13348,14109,15181,14448,10957,9077,5725,4030,3187
0500000US39041,Delaware,Ohio,DelawareOhio,204826,101021,103805,12725,14776,16701,15182,12153,8546,11010,15673,15237,15733,14443,12675,12394,10074,6863,4179,3557,2905
0500000US39049,Franklin,Ohio,FranklinOhio,1310300,639445,670855,93026,81636,83955,86248,88600,126733,113218,92945,82294,80079,75268,75079,73678,55163,40304,25851,18043,18180
0500000US39103,Medina,Ohio,MedinaOhio,179146,89213,89933,9723,10212,12435,11782,9099,9588,10040,12973,9642,12158,13645,14417,11358,9948,8974,6495,3657,3000
0500000US39157,Tuscarawas,Ohio,TuscarawasOhio,92176,44815,47361,5649,6270,5297,5825,5460,6073,4866,5419,5323,5408,5651,6184,6724,5629,4423,3639,2084,2252
0500000US39017,Butler,Ohio,ButlerOhio,382378,188087,194291,22986,22031,29058,29652,33590,22151,20932,22180,24250,24660,24949,24986,24681,18802,14513,10724,5743,6490
0500000US39101,Marion,Ohio,MarionOhio,65256,34660,30596,3755,4329,3542,3880,4053,4453,4335,3197,4742,4388,4013,4678,4484,4002,2751,1862,1103,1689
0500000US39173,Wood,Ohio,WoodOhio,130696,64457,66239,7079,7326,7376,11561,15919,8466,7339,7085,7090,7114,7696,7933,8661,7776,3952,3416,2117,2790
0500000US39003,Allen,Ohio,AllenOhio,102663,52122,50541,6030,6821,6140,7831,7334,6767,5402,4959,6556,5727,6736,7033,7397,5083,4988,3095,2833,1931
0500000US39043,Erie,Ohio,ErieOhio,74615,36773,37842,3960,3791,4388,4197,4287,4271,4328,4616,3602,4980,4611,6254,5173,4504,4648,2730,1557,2718
0500000US39141,Ross,Ohio,RossOhio,76931,40171,36760,4042,4304,4389,4912,4728,5088,4381,4958,4579,5583,5907,5222,5482,4094,3569,3794,1207,692
0500000US39095,Lucas,Ohio,LucasOhio,429899,208451,221448,27037,25855,29419,27421,28063,32119,27988,27201,22440,26767,26438,30527,28415,26526,14906,10899,9417,8461
0500000US39057,Greene,Ohio,GreeneOhio,167995,82995,85000,9284,8597,10599,13665,13144,11575,10721,10603,8477,9601,10154,11242,11274,9881,7142,5168,4582,2286
0500000US39139,Richland,Ohio,RichlandOhio,121099,60963,60136,7081,6479,7918,6823,6683,8128,6914,7924,6646,7172,8778,9174,7644,6838,5776,4262,3108,3751
0500000US39133,Portage,Ohio,PortageOhio,162927,79341,83586,7503,9237,7351,13794,18936,10200,8297,8635,8631,9919,10857,11351,11031,9435,7067,5256,2665,2762
