id,county,state,concat,Estimate!!Total!!Total population,Estimate!!Male!!Total population,Estimate!!Female!!Total population,Estimate!!Total!!Total population!!AGE!!Under 5 years,Estimate!!Total!!Total population!!AGE!!5 to 9 years,Estimate!!Total!!Total population!!AGE!!10 to 14 years,Estimate!!Total!!Total population!!AGE!!15 to 19 years,Estimate!!Total!!Total population!!AGE!!20 to 24 years,Estimate!!Total!!Total population!!AGE!!25 to 29 years,Estimate!!Total!!Total population!!AGE!!30 to 34 years,Estimate!!Total!!Total population!!AGE!!35 to 39 years,Estimate!!Total!!Total population!!AGE!!40 to 44 years,Estimate!!Total!!Total population!!AGE!!45 to 49 years,Estimate!!Total!!Total population!!AGE!!50 to 54 years,Estimate!!Total!!Total population!!AGE!!55 to 59 years,Estimate!!Total!!Total population!!AGE!!60 to 64 years,Estimate!!Total!!Total population!!AGE!!65 to 69 years,Estimate!!Total!!Total population!!AGE!!70 to 74 years,Estimate!!Total!!Total population!!AGE!!75 to 79 years,Estimate!!Total!!Total population!!AGE!!80 to 84 years,Estimate!!Total!!Total population!!AGE!!85 years and over
0500000US06001,Alameda,California,AlamedaCalifornia,1666753,820179,846574,96774,91122,99712,93289,99631,137355,141601,136963,114444,115418,106753,107322,95859,77899,58843,38789,27415,27564
0500000US06097,Sonoma,California,SonomaCalifornia,499942,243952,255990,24591,27576,28649,30274,27975,31079,31468,34033,29702,31375,32574,36261,36355,34672,25550,16420,9408,11980
0500000US06113,Yolo,California,YoloCalifornia,220408,107008,113400,12882,12582,13067,22302,31778,15045,13657,15458,10527,12128,11087,11640,11078,9101,6663,4310,3558,3545
0500000US06107,Tulare,California,TulareCalifornia,465861,234322,231539,35499,40991,42932,38237,32982,33113,32158,31229,28007,25634,25454,22936,24067,16441,14594,8854,6439,6294
0500000US06057,Nevada,California,NevadaCalifornia,99696,48808,50888,3931,4439,6037,4260,3523,5129,4784,5785,5676,5605,6002,7941,8838,9484,8009,4169,2932,3152
0500000US06019,Fresno,California,FresnoCalifornia,994400,495950,498450,77286,77081,82856,71831,70459,80398,72603,67699,59148,54477,54823,55778,48421,39199,31803,17929,15424,17185
0500000US06007,Butte,California,ButteCalifornia,231256,113736,117520,13056,12476,13218,16837,22757,17037,13277,13398,12671,12339,11852,13718,15800,14949,10320,8903,4207,4441
0500000US06017,El Dorado,California,El DoradoCalifornia,190678,94527,96151,8586,9130,12869,11424,9821,9281,8858,12606,9389,12482,12924,15570,17311,14742,10686,6861,3685,4453
0500000US06025,Imperial,California,ImperialCalifornia,181827,93655,88172,14876,11876,15888,14301,13061,14488,12678,12312,8832,11282,9830,10495,8396,8092,5267,4116,3392,2645
0500000US06029,Kern,California,KernCalifornia,896764,459769,436995,69712,66175,81427,66229,65981,73706,65985,62260,52553,51552,48622,49360,45126,34857,24449,15794,12300,10676
