id,county,state,concatenate,Estimate!!Total!!White alone,Estimate!!Total!!Black or African American alone,Estimate!!Total!!American Indian and Alaska Native alone,Estimate!!Total!!Asian alone,Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Some other race alone
0500000US48479,Webb,Texas,WebbTexas,265995,1606,116,1591,0,5124
0500000US48091,Comal,Texas,ComalTexas,137396,2897,407,939,0,2159
0500000US48361,Orange,Texas,OrangeTexas,72848,7777,140,1102,0,502
0500000US48497,Wise,Texas,WiseTexas,62215,1686,325,31,65,2743
0500000US48245,Jefferson,Texas,JeffersonTexas,148260,84690,799,10081,0,5858
0500000US48257,Kaufman,Texas,KaufmanTexas,105024,15867,382,1800,198,1581
0500000US48491,Williamson,Texas,WilliamsonTexas,448811,37637,1030,39003,642,13828
0500000US48181,Grayson,Texas,GraysonTexas,114158,7629,1168,2366,0,2667
0500000US48309,McLennan,Texas,McLennanTexas,202647,37263,797,4501,28,4181
0500000US48397,Rockwall,Texas,RockwallTexas,84966,6688,455,2115,0,3092
0500000US48409,San Patricio,Texas,San PatricioTexas,61983,1093,0,521,223,1865
0500000US48141,El Paso,Texas,El PasoTexas,656680,25580,3447,10895,1246,117083
0500000US48201,Harris,Texas,HarrisTexas,2868885,901166,21230,331452,3511,461642
0500000US48085,Collin,Texas,CollinTexas,681648,101248,4647,160058,154,26583
0500000US48231,Hunt,Texas,HuntTexas,77998,8376,1622,1556,0,6300
0500000US48029,Bexar,Texas,BexarTexas,1603079,153706,13710,61139,1017,88755
0500000US48203,Harrison,Texas,HarrisonTexas,null,null,null,null,null,null
0500000US48303,Lubbock,Texas,LubbockTexas,249837,21991,2704,7174,531,15423
0500000US48381,Randall,Texas,RandallTexas,123349,4097,612,2382,578,1852
0500000US48039,Brazoria,Texas,BrazoriaTexas,257444,54959,1721,26291,211,22220
0500000US48157,Fort Bend,Texas,Fort BendTexas,409247,163689,1341,164125,43,29117
0500000US48451,Tom Green,Texas,Tom GreenTexas,105457,4564,534,1917,7,3623
0500000US48339,Montgomery,Texas,MontgomeryTexas,508494,30101,2222,18352,229,15662
0500000US48441,Taylor,Texas,TaylorTexas,103087,11063,610,3726,27,15178
0500000US48471,Walker,Texas,WalkerTexas,null,null,null,null,null,null
0500000US48121,Denton,Texas,DentonTexas,631974,87572,4402,79674,986,21269
0500000US48453,Travis,Texas,TravisTexas,890260,104157,11372,87182,422,109479
0500000US48113,Dallas,Texas,DallasTexas,1597748,601408,12699,168061,919,196482
0500000US48213,Henderson,Texas,HendersonTexas,74444,5237,13,440,0,348
0500000US48099,Coryell,Texas,CoryellTexas,53881,11903,318,1560,96,795
0500000US48215,Hidalgo,Texas,HidalgoTexas,751719,4285,1514,8735,0,88329
0500000US48329,Midland,Texas,MidlandTexas,142376,13430,3069,3415,182,5239
0500000US48027,Bell,Texas,BellTexas,222838,93615,2333,9396,1549,7375
0500000US48061,Cameron,Texas,CameronTexas,402981,2917,535,3630,166,11441
0500000US48005,Angelina,Texas,AngelinaTexas,69167,12912,1493,1049,0,1735
0500000US48485,Wichita,Texas,WichitaTexas,103422,14383,1287,3261,0,5592
0500000US48135,Ector,Texas,EctorTexas,125268,8257,925,2276,109,21130
0500000US48423,Smith,Texas,SmithTexas,176394,39113,1010,4321,227,3640
0500000US48469,Victoria,Texas,VictoriaTexas,80205,5534,167,1285,24,1694
0500000US48021,Bastrop,Texas,BastropTexas,55858,7028,118,772,0,21470
0500000US48355,Nueces,Texas,NuecesTexas,327726,13856,1243,7916,359,6950
0500000US48375,Potter,Texas,PotterTexas,92101,12544,1412,7117,175,3515
0500000US48167,Galveston,Texas,GalvestonTexas,265058,42102,906,10986,1037,6364
0500000US48367,Parker,Texas,ParkerTexas,129550,2231,1662,1063,227,518
0500000US51069,Frederick,Virginia,FrederickVirginia,79864,4033,0,1653,165,678
0500000US51059,Fairfax,Virginia,FairfaxVirginia,703152,111976,2220,221662,1169,49575
0500000US51510,Alexandria city,Virginia,Alexandria cityVirginia,100922,36569,0,9090,82,5175
0500000US51680,Lynchburg city,Virginia,Lynchburg cityVirginia,52897,23311,277,1889,0,1512
0500000US51095,James City,Virginia,James CityVirginia,60918,11236,0,1669,63,334
0500000US51650,Hampton city,Virginia,Hampton cityVirginia,55091,67768,317,2668,237,1958
0500000US51800,Suffolk city,Virginia,Suffolk cityVirginia,46485,37311,174,1952,0,1196
0500000US51041,Chesterfield,Virginia,ChesterfieldVirginia,233945,82884,1369,11713,0,7842
0500000US51019,Bedford,Virginia,BedfordVirginia,null,null,null,null,null,null
0500000US51087,Henrico,Virginia,HenricoVirginia,184523,94961,701,28428,0,6703
0500000US51085,Hanover,Virginia,HanoverVirginia,92553,9340,388,2344,199,442
0500000US51179,Stafford,Virginia,StaffordVirginia,97976,26907,245,5958,0,10807
0500000US51003,Albemarle,Virginia,AlbemarleVirginia,89521,10359,515,5990,0,120
0500000US51161,Roanoke,Virginia,RoanokeVirginia,81789,4465,62,2307,116,0
0500000US51760,Richmond city,Virginia,Richmond cityVirginia,108092,106543,236,5502,0,1806
0500000US51013,Arlington,Virginia,ArlingtonVirginia,165900,21345,1341,23125,717,13270
0500000US51199,York,Virginia,YorkVirginia,50229,9384,74,3184,0,748
0500000US51121,Montgomery,Virginia,MontgomeryVirginia,84925,4448,365,7318,70,723
0500000US51165,Rockingham,Virginia,RockinghamVirginia,77185,2100,0,413,0,486
0500000US51700,Newport News city,Virginia,Newport News cityVirginia,85037,75446,126,6400,381,3846
0500000US51710,Norfolk city,Virginia,Norfolk cityVirginia,113964,98688,614,9250,211,8344
0500000US51810,Virginia Beach city,Virginia,Virginia Beach cityVirginia,296395,86768,1861,32129,143,10599
0500000US51061,Fauquier,Virginia,FauquierVirginia,60157,4621,380,1236,53,599
0500000US51015,Augusta,Virginia,AugustaVirginia,null,null,null,null,null,null
0500000US51550,Chesapeake city,Virginia,Chesapeake cityVirginia,146670,72849,212,9053,128,4698
0500000US51770,Roanoke city,Virginia,Roanoke cityVirginia,61938,29378,162,3048,0,906
0500000US51107,Loudoun,Virginia,LoudounVirginia,257087,28674,1118,77374,301,17686
0500000US51740,Portsmouth city,Virginia,Portsmouth cityVirginia,37625,47317,1554,1429,0,2036
0500000US51153,Prince William,Virginia,Prince WilliamVirginia,273188,97459,1695,38547,178,27440
0500000US51177,Spotsylvania,Virginia,SpotsylvaniaVirginia,96410,23160,279,3113,67,4582
