id,county,state,concatenate,Estimate!!Total!!White alone,Estimate!!Total!!Black or African American alone,Estimate!!Total!!American Indian and Alaska Native alone,Estimate!!Total!!Asian alone,Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Some other race alone
0500000US12097,Osceola,Florida,OsceolaFlorida,261233,43509,1172,11147,16,34241
0500000US12023,Columbia,Florida,ColumbiaFlorida,53675,11899,364,354,0,825
0500000US12089,Nassau,Florida,NassauFlorida,78055,5011,430,805,0,35
0500000US12019,Clay,Florida,ClayFlorida,168786,24859,35,5712,0,6522
0500000US12015,Charlotte,Florida,CharlotteFlorida,167034,9781,224,2517,215,1482
0500000US12057,Hillsborough,Florida,HillsboroughFlorida,1003558,241095,3754,58301,388,66171
0500000US12085,Martin,Florida,MartinFlorida,137280,11043,316,2904,0,6184
0500000US12005,Bay,Florida,BayFlorida,146936,19301,877,3867,62,5229
0500000US12011,Broward,Florida,BrowardFlorida,1161467,562696,6018,72663,1816,79885
0500000US12055,Highlands,Florida,HighlandsFlorida,84051,10117,0,921,0,7747
0500000US12131,Walton,Florida,WaltonFlorida,62177,3176,553,633,0,1990
0500000US12009,Brevard,Florida,BrevardFlorida,491473,57559,1788,14941,611,6041
0500000US12081,Manatee,Florida,ManateeFlorida,337520,32646,717,9221,235,5571
0500000US12087,Monroe,Florida,MonroeFlorida,65534,5227,31,1027,260,1991
0500000US12021,Collier,Florida,CollierFlorida,334685,26009,810,5521,112,7259
0500000US12086,Miami-Dade,Florida,Miami-DadeFlorida,2054029,472958,5983,44830,361,135869
0500000US12001,Alachua,Florida,AlachuaFlorida,186822,52720,970,17015,284,2606
0500000US12071,Lee,Florida,LeeFlorida,632400,68105,614,12403,399,29748
0500000US12105,Polk,Florida,PolkFlorida,541001,107044,2670,13061,0,26628
0500000US12091,Okaloosa,Florida,OkaloosaFlorida,162777,20465,572,7062,401,6985
0500000US12117,Seminole,Florida,SeminoleFlorida,346992,57125,1127,22199,273,27014
0500000US12095,Orange,Florida,OrangeFlorida,881215,288018,4549,71893,1276,85680
0500000US12109,St. Johns,Florida,St. JohnsFlorida,224296,14093,819,7638,0,1717
